customer_ref,company_name,billing_email,first_invoice_date,last_paid_invoice_date,contract_type
cus_000000500731,Underhill Atlas Group,ap@underhill.com,2025-02-19,2026-08-19,monthly
cus_000000500716,Orchard Onyx Holdings,ap@orchard.com,2025-01-13,2026-08-13,monthly
cus_000000500942,Acme Cascade Corp,ap@acme.com,2025-10-20,2026-08-20,monthly
cus_000000500151,Ashcombe Sterling Labs,ap@ashcombe.com,2022-10-25,2026-07-25,monthly
cus_000000500062,Blackthorn Analytics Systems,ap@blackthorn.com,2022-10-01,2026-08-01,monthly
cus_000000500090,Orchard Cascade Holdings,ap@orchard.com,2022-11-19,2026-08-19,monthly
cus_000000500873,Perez Group Cascade,ap@perez.com,2025-08-11,2026-08-20,monthly
cus_000000501380,Underhill Nimbus Systems - LATAM,ap@underhill.com,2025-08-27,2026-03-27,usage
cus_000000500818,Redstone Clinical Group,ap@redstone.com,2025-05-09,2026-08-09,monthly
cus_000000500597,Pemberton Sable Corp,ap@pemberton.com,2024-08-02,2026-08-02,annual
cus_000000500202,Ravenswood Clinical Labs,ap@ravenswood.com,2023-01-20,2024-07-20,monthly
cus_000000500049,Thornbury Supply Partners,ap@thornbury.com,2022-10-10,2022-10-10,annual
cus_000000501025,Juniper Vector,ap@juniper.com,2026-01-17,2026-08-17,monthly
cus_000000501221,Whitmore Atlas Corp.,ap@whitmore.com,2026-07-05,2026-08-05,monthly
cus_000000500865,Nightingale Lumen Labs,ap@nightingale.com,2025-07-10,2025-11-10,monthly
cus_000000500349,Blackthorn Sable LLC,ap@blackthorn.com,2023-09-13,2023-09-13,annual
cus_000000500447,Yarrow Vector,ap@yarrow.com,2024-02-10,2026-08-10,monthly
cus_000000500560,Silverline Analytics Partners - LATAM,ap@silverline.com,2024-06-16,2026-06-16,annual
cus_000000501060,HERNANDEZ RETAIL ATLAS,ap@hernandez.com,2026-02-15,2026-08-15,monthly
cus_000000500251,Tanglewood Atlas Systems,ap@tanglewood.com,2023-04-27,2023-04-27,annual
cus_000000500388,Vasquez Media Freight,ap@vasquez.com,2023-11-19,2024-03-19,monthly
cus_000000500526,Pinnacle Foundry LLC,ap@pinnacle.com,2024-05-07,2026-05-07,annual
cus_000000501157,Silverline Coastal Systems,ap@silverline.com,2026-04-24,2026-07-24,monthly
cus_000000500647,Northwind Precision Corp,ap@northwind.com,2024-10-07,2026-08-07,monthly
cus_000000500953,Copperfield Atlas Systems,ap@copperfield.com,2025-10-17,2026-02-17,monthly
cus_000000500655,Dovetail Cascade Corp,ap@dovetail.com,2024-11-19,2026-08-19,monthly
cus_000000500171,Copperfield Summit,ap@copperfield.com,2022-11-19,2026-08-19,monthly
cus_000000501079,Dunmore Clinical Systems,ap@dunmore.com,2026-02-09,2026-08-09,monthly
cus_000000500616,Fairmount Clinical Systems,ap@fairmount.com,2024-09-02,2026-08-02,usage
